metric,cost,coverage,risk
standard,0.0,0.0,1.0
standard,0.01,0.4699999988079071,0.0
standard,0.02,0.7300000190734863,0.0022830963134765625
standard,0.03,0.7300000190734863,0.0022830963134765625
standard,0.04,0.7300000190734863,0.0022830963134765625
standard,0.05,0.7300000190734863,0.0022830963134765625
standard,0.06,0.7300000190734863,0.0022830963134765625
standard,0.07,0.7300000190734863,0.0022830963134765625
standard,0.08,0.7300000190734863,0.0022830963134765625
standard,0.09,0.7300000190734863,0.0022830963134765625
standard,0.1,0.7300000190734863,0.0022830963134765625
standard,0.11,0.7300000190734863,0.0022830963134765625
standard,0.12,0.7416666746139526,0.006741583347320557
standard,0.13,0.7416666746139526,0.006741583347320557
standard,0.14,0.7416666746139526,0.006741583347320557
standard,0.15,0.7816666960716248,0.012793183326721191
standard,0.16,0.7816666960716248,0.012793183326721191
standard,0.17,0.7816666960716248,0.012793183326721191
standard,0.18,0.7816666960716248,0.012793183326721191
standard,0.19,0.7816666960716248,0.012793183326721191
standard,0.2,0.7816666960716248,0.012793183326721191
standard,0.21,0.7816666960716248,0.012793183326721191
standard,0.22,0.7816666960716248,0.012793183326721191
standard,0.23,0.7816666960716248,0.012793183326721191
standard,0.24,0.7816666960716248,0.012793183326721191
standard,0.25,0.7816666960716248,0.012793183326721191
standard,0.26,0.7816666960716248,0.012793183326721191
standard,0.27,0.7816666960716248,0.012793183326721191
standard,0.28,0.7816666960716248,0.012793183326721191
standard,0.29,0.7816666960716248,0.012793183326721191
standard,0.3,0.7883333563804626,0.014799177646636963
standard,0.31,0.7883333563804626,0.014799177646636963
standard,0.32,0.7883333563804626,0.014799177646636963
standard,0.33,0.7883333563804626,0.014799177646636963
standard,0.34,0.7883333563804626,0.014799177646636963
standard,0.35000000000000003,0.7883333563804626,0.014799177646636963
standard,0.36,0.7883333563804626,0.014799177646636963
standard,0.37,0.7883333563804626,0.014799177646636963
standard,0.38,0.7883333563804626,0.014799177646636963
standard,0.39,0.7883333563804626,0.014799177646636963
standard,0.4,0.7883333563804626,0.014799177646636963
standard,0.41000000000000003,0.7883333563804626,0.014799177646636963
standard,0.42,0.7883333563804626,0.014799177646636963
standard,0.43,0.7883333563804626,0.014799177646636963
standard,0.44,0.7883333563804626,0.014799177646636963
standard,0.45,0.7883333563804626,0.014799177646636963
standard,0.46,0.7883333563804626,0.014799177646636963
standard,0.47000000000000003,0.7883333563804626,0.014799177646636963
standard,0.48,0.7883333563804626,0.014799177646636963
standard,0.49,0.7883333563804626,0.014799177646636963
standard,0.5,0.7883333563804626,0.014799177646636963
standard,0.51,0.8266666531562805,0.03225809335708618
standard,0.52,0.8266666531562805,0.03225809335708618
standard,0.53,0.8266666531562805,0.03225809335708618
standard,0.54,0.8266666531562805,0.03225809335708618
standard,0.55,0.8266666531562805,0.03225809335708618
standard,0.56,0.8266666531562805,0.03225809335708618
standard,0.5700000000000001,0.8266666531562805,0.03225809335708618
standard,0.58,0.9266666769981384,0.06834530830383301
standard,0.59,0.9266666769981384,0.06834530830383301
standard,0.6,0.9266666769981384,0.06834530830383301
standard,0.61,0.9266666769981384,0.06834530830383301
standard,0.62,0.9266666769981384,0.06834530830383301
standard,0.63,0.9266666769981384,0.06834530830383301
standard,0.64,0.9266666769981384,0.06834530830383301
standard,0.65,0.9266666769981384,0.06834530830383301
standard,0.66,0.9266666769981384,0.06834530830383301
standard,0.67,0.9266666769981384,0.06834530830383301
standard,0.68,0.9266666769981384,0.06834530830383301
standard,0.6900000000000001,0.9266666769981384,0.06834530830383301
standard,0.7000000000000001,0.9266666769981384,0.06834530830383301
standard,0.71,0.9266666769981384,0.06834530830383301
standard,0.72,0.9266666769981384,0.06834530830383301
standard,0.73,0.9266666769981384,0.06834530830383301
standard,0.74,0.9266666769981384,0.06834530830383301
standard,0.75,0.9900000095367432,0.10942763090133667
standard,0.76,0.9900000095367432,0.10942763090133667
standard,0.77,0.9900000095367432,0.10942763090133667
standard,0.78,0.9900000095367432,0.10942763090133667
standard,0.79,0.9900000095367432,0.10942763090133667
standard,0.8,0.9900000095367432,0.10942763090133667
balanced,0.0,0.009999999776482582,0.5
balanced,0.01,0.6200000047683716,0.01724138855934143
balanced,0.02,0.6200000047683716,0.01724138855934143
balanced,0.03,0.6200000047683716,0.01724138855934143
balanced,0.04,0.6200000047683716,0.01724138855934143
balanced,0.05,0.6200000047683716,0.01724138855934143
balanced,0.06,0.6200000047683716,0.01724138855934143
balanced,0.07,0.6200000047683716,0.01724138855934143
balanced,0.08,0.7300000190734863,0.012499988079071045
balanced,0.09,0.7300000190734863,0.012499988079071045
balanced,0.1,0.7300000190734863,0.012499988079071045
balanced,0.11,0.7300000190734863,0.012499988079071045
balanced,0.12,0.7300000190734863,0.012499988079071045
balanced,0.13,0.7300000190734863,0.012499988079071045
balanced,0.14,0.7300000190734863,0.012499988079071045
balanced,0.15,0.7300000190734863,0.012499988079071045
balanced,0.16,0.7300000190734863,0.012499988079071045
balanced,0.17,0.7300000190734863,0.012499988079071045
balanced,0.18,0.7300000190734863,0.012499988079071045
balanced,0.19,0.7300000190734863,0.012499988079071045
balanced,0.2,0.7300000190734863,0.012499988079071045
balanced,0.21,0.7300000190734863,0.012499988079071045
balanced,0.22,0.7300000190734863,0.012499988079071045
balanced,0.23,0.7300000190734863,0.012499988079071045
balanced,0.24,0.7300000190734863,0.012499988079071045
balanced,0.25,0.7300000190734863,0.012499988079071045
balanced,0.26,0.7300000190734863,0.012499988079071045
balanced,0.27,0.7300000190734863,0.012499988079071045
balanced,0.28,0.7300000190734863,0.012499988079071045
balanced,0.29,0.7300000190734863,0.012499988079071045
balanced,0.3,0.7300000190734863,0.012499988079071045
balanced,0.31,0.7300000190734863,0.012499988079071045
balanced,0.32,0.7300000190734863,0.012499988079071045
balanced,0.33,0.7300000190734863,0.012499988079071045
balanced,0.34,0.7300000190734863,0.012499988079071045
balanced,0.35000000000000003,0.7300000190734863,0.012499988079071045
balanced,0.36,0.7300000190734863,0.012499988079071045
balanced,0.37,0.7300000190734863,0.012499988079071045
balanced,0.38,0.7300000190734863,0.012499988079071045
balanced,0.39,0.7300000190734863,0.012499988079071045
balanced,0.4,0.7300000190734863,0.012499988079071045
balanced,0.41000000000000003,0.7300000190734863,0.012499988079071045
balanced,0.42,0.7300000190734863,0.012499988079071045
balanced,0.43,0.7300000190734863,0.012499988079071045
balanced,0.44,0.7300000190734863,0.012499988079071045
balanced,0.45,0.7300000190734863,0.012499988079071045
balanced,0.46,0.7300000190734863,0.012499988079071045
balanced,0.47000000000000003,0.7300000190734863,0.012499988079071045
balanced,0.48,0.7416666746139526,0.024499595165252686
balanced,0.49,0.7416666746139526,0.024499595165252686
balanced,0.5,0.7416666746139526,0.024499595165252686
balanced,0.51,0.7816666960716248,0.05327099561691284
balanced,0.52,0.7816666960716248,0.05327099561691284
balanced,0.53,0.7816666960716248,0.05327099561691284
balanced,0.54,0.7816666960716248,0.05327099561691284
balanced,0.55,0.7816666960716248,0.05327099561691284
balanced,0.56,0.7816666960716248,0.05327099561691284
balanced,0.5700000000000001,0.7816666960716248,0.05327099561691284
balanced,0.58,0.7816666960716248,0.05327099561691284
balanced,0.59,0.7816666960716248,0.05327099561691284
balanced,0.6,0.7816666960716248,0.05327099561691284
balanced,0.61,0.7816666960716248,0.05327099561691284
balanced,0.62,0.7816666960716248,0.05327099561691284
balanced,0.63,0.7816666960716248,0.05327099561691284
balanced,0.64,0.7816666960716248,0.05327099561691284
balanced,0.65,0.7816666960716248,0.05327099561691284
balanced,0.66,0.7816666960716248,0.05327099561691284
balanced,0.67,0.7816666960716248,0.05327099561691284
balanced,0.68,0.7816666960716248,0.05327099561691284
balanced,0.6900000000000001,0.7816666960716248,0.05327099561691284
balanced,0.7000000000000001,0.7816666960716248,0.05327099561691284
balanced,0.71,0.7816666960716248,0.05327099561691284
balanced,0.72,0.7816666960716248,0.05327099561691284
balanced,0.73,0.7816666960716248,0.05327099561691284
balanced,0.74,0.7816666960716248,0.05327099561691284
balanced,0.75,0.7816666960716248,0.05327099561691284
balanced,0.76,0.7816666960716248,0.05327099561691284
balanced,0.77,0.7816666960716248,0.05327099561691284
balanced,0.78,0.7816666960716248,0.05327099561691284
balanced,0.79,0.7816666960716248,0.05327099561691284
balanced,0.8,0.7816666960716248,0.05327099561691284
worst,0.0,0.009999999776482582,1.0
worst,0.01,0.4699999988079071,0.0
worst,0.02,0.6200000047683716,0.03448277711868286
worst,0.03,0.6200000047683716,0.03448277711868286
worst,0.04,0.6200000047683716,0.03448277711868286
worst,0.05,0.6200000047683716,0.03448277711868286
worst,0.06,0.6200000047683716,0.03448277711868286
worst,0.07,0.6200000047683716,0.03448277711868286
worst,0.08,0.6200000047683716,0.03448277711868286
worst,0.09,0.6200000047683716,0.03448277711868286
worst,0.1,0.6200000047683716,0.03448277711868286
worst,0.11,0.6200000047683716,0.03448277711868286
worst,0.12,0.6200000047683716,0.03448277711868286
worst,0.13,0.6200000047683716,0.03448277711868286
worst,0.14,0.7300000190734863,0.02499997615814209
worst,0.15,0.7300000190734863,0.02499997615814209
worst,0.16,0.7300000190734863,0.02499997615814209
worst,0.17,0.7300000190734863,0.02499997615814209
worst,0.18,0.7300000190734863,0.02499997615814209
worst,0.19,0.7300000190734863,0.02499997615814209
worst,0.2,0.7300000190734863,0.02499997615814209
worst,0.21,0.7300000190734863,0.02499997615814209
worst,0.22,0.7300000190734863,0.02499997615814209
worst,0.23,0.7300000190734863,0.02499997615814209
worst,0.24,0.7300000190734863,0.02499997615814209
worst,0.25,0.7300000190734863,0.02499997615814209
worst,0.26,0.7300000190734863,0.02499997615814209
worst,0.27,0.7300000190734863,0.02499997615814209
worst,0.28,0.7300000190734863,0.02499997615814209
worst,0.29,0.7300000190734863,0.02499997615814209
worst,0.3,0.7300000190734863,0.02499997615814209
worst,0.31,0.7300000190734863,0.02499997615814209
worst,0.32,0.7300000190734863,0.02499997615814209
worst,0.33,0.7300000190734863,0.02499997615814209
worst,0.34,0.7300000190734863,0.02499997615814209
worst,0.35000000000000003,0.7300000190734863,0.02499997615814209
worst,0.36,0.7300000190734863,0.02499997615814209
worst,0.37,0.7300000190734863,0.02499997615814209
worst,0.38,0.7300000190734863,0.02499997615814209
worst,0.39,0.7300000190734863,0.02499997615814209
worst,0.4,0.7300000190734863,0.02499997615814209
